"country","modified.area","modified.pop","pop.den"
"ALBANIA",25951.6771085049,2944239.93608392,113.4508542078
"ALGERIA",243483.97598339,22744828.6258934,93.4140677391
"ANGOLA",111382.358460092,4945513.02025594,44.4012237542
"ARGENTINA",245618.721704588,23936143.0218584,97.452437077
"ARMENIA",27884.336486155,3469559.4416606,124.4268244784
"AUSTRALIA",86264.1840863536,11640169.9842315,134.9363018675
"AUSTRIA",83149.6846889886,8438418.83643845,101.484676316
"AZERBAIJAN",81262.4697182838,6151681.74634162,75.7013879552
"BAHRAIN",198.5633438649,32420.6114357216,163.2759138957
"BANGLADESH",131855.832217875,126729439.914183,961.1212320497
"BELARUS",181412.325853608,9668276.02350812,53.2944824891
"BELGIUM",29557.7500643463,10263126.8663372,347.2228719708
"BENIN",70900.591663637,4423012.23601871,62.3832909181
"BOLIVIA",84632.9157560711,5174046.82384057,61.135159738
"BOSNIAHERZ",50626.1531339314,3812250.52529908,75.3019988545
"BOTSWANA",5284.1878178752,262800.714617325,49.7334166905
"BRAZIL",1585756.8063892,132178635.461814,83.3536611221
"BRUNEI",3060.4276550325,170860.119816227,55.8288380172
"BULGARIA",109661.894567276,8115911.39982488,74.0084915718
"CAMBODIA",109003.807806481,14130120.3101136,129.6296028043
"CAMEROON",157136.817564703,12018782.7663199,76.4861027007
"CANADA",198741.665334337,21548324.1015433,108.4237875601
"CHILE",110466.326135226,11167778.6325242,101.096678266
"CHINA",4764734.88770724,1195997740.82953,251.0103434957
"COLOMBIA",383100.045674504,37489172.9943846,97.8573963059
"CONGO",33471.5374318635,4945505.73418605,147.7525716963
"CONGOREP",643676.20722327,33113179.3965326,51.4438455623
"COSTA RICA",36758.5439292362,3513300.04961928,95.5777806755
"COTEIVOIRE",219506.681580171,12734301.6527848,58.0132757742
"CROATIA",50684.7800507889,3788102.26681715,74.7384572454
"CUBA",85961.9807699936,7092206.98967202,82.5039968384
"CYPRUS",5196.8634508862,332609.325026325,64.0019365853
"CZECH",78510.9275040799,10508761.2864578,133.8509379591
"DENMARK",35879.9670829371,3716371.86609196,103.5779062311
"DOMINICANR",40227.5002113176,6734830.8603057,167.4185774639
"ECUADOR",119221.634417214,11476078.5225369,96.2583559489
"EGYPT",101274.81097224,64436362.7143627,636.252609072
"ELSALVADOR",18320.1835048632,5293800.709149,288.9600263962
"ERITREA",52045.9498577582,2992321.85879715,57.4938466293
"ESTONIA",11552.0972442133,1012912.54919368,87.6821349215
"ETHIOPIA",576585.092382351,57506614.9063938,99.7365621591
"FINLAND",54048.7297903897,3127330.89398127,57.8613208138
"FRANCE",471696.078520886,55159761.1594936,116.9391980795
"FYROM",24661.73231184,1957164.02915274,79.3603630274
"GABON",2760.1578007673,274219.236503958,99.3491156294
"GEORGIA",55690.0268432078,5095139.64569217,91.4910610483
"GERMANY",351951.094841183,80713328.6354907,229.3310912185
"GHANA",192982.06191203,17810014.9760888,92.2884479502
"GIBRALTAR",14.1358241331,2857.1415766604,202.1206227355
"GREECE",89651.701558653,7197048.91375172,80.2778841743
"GUATEMALA",72314.1380939786,10706004.1302621,148.0485616291
"HAITI",20274.9845079291,5051774.10452972,249.1629082407
"HONDURAS",74691.6144186631,5834719.21714023,78.1174602069
"HONGKONG",627.0273055338,1944544.82764069,3101.2123562707
"HUNGARY",91821.4629081577,10079982.3210625,109.778062795
"ICELAND",1082.1146221943,151835.976587374,140.3141344486
"INDIA",2963784.10159185,964818096.944472,325.5358905618
"INDONESIA",775531.938395192,156592200.915631,201.9158633746
"IRAN",769023.284127352,59878880.2239412,77.8635464749
"IRAQ",248286.928460637,21158636.5637504,85.2184877188
"IRELAND",53407.0404849569,3153575.80830909,59.0479416136
"ISRAEL",24479.8308970055,6364925.33344515,260.0069159066
"ITALY",268296.083277185,44730179.8172676,166.7194663109
"JAMAICA",7627.8386877029,1306005.91324043,171.2157226589
"JAPAN",294453.050979622,100121940.107478,340.0268388267
"JORDAN",26093.7994228178,4159736.86127852,159.4147634032
"KAZAKHSTAN",126740.878181345,9449959.91272701,74.5612626986
"KENYA",189301.940281437,27267968.1603999,144.0448424346
"KOREA",92367.6375835946,39277129.5070967,425.2260914603
"KOREADPR",115419.196432772,19749716.495032,171.1129266658
"KUWAIT",15694.5977627335,1117971.72428392,71.2329007207
"KYRGYZSTAN",57884.5753605161,5095929.18736838,88.0360468334
"LATVIA",33228.9183478948,1784205.72638653,53.6943666871
"LEBANON",9055.0850615813,2845241.83837427,314.2148106864
"LIBYA",37202.8024538215,2619936.13155282,70.4230853255
"LITHUANIA",64093.0857785315,3652405.90052207,56.9859580976
"LUXEMBOURG",2618.9714775371,368290.279531317,140.6240131632
"MALAYSIA",136403.160500055,15741511.060546,115.4042985722
"MALTA",35.4260831361,4332.0405838391,122.283927557
"MEXICO",801803.103769653,86097045.1767953,107.3792864757
"MOLDOVA",33880.2157477198,4265202.0663717,125.8906406657
"MONGOLIA",10290.7914801935,812843.933968116,78.9875040742
"MOROCCO",230689.613939182,23411611.9559417,101.4853315508
"MOZAMBIQUE",293170.10245082,13974921.5089404,47.6683038008
"MYANMAR",463337.840393352,44579043.041852,96.2128260537
"NAMIBIA",16524.5919541975,663113.045771183,40.1288605255
"NANTILLES",52.9364124797,3511.668646583,66.337488358
"NEPAL",123003.894794354,24527328.3457454,199.4028594521
"Netherlands",33032.6578903752,13995636.1418136,423.6908876137
"NICARAGUA",48285.1595884944,3438500.49275155,71.2123667408
"NIGERIA",858421.8549348,110991359.520725,129.2969871196
"NORWAY",35641.5495593029,2753897.84791834,77.2665016524
"New Zealand",27383.3155954112,1950522.48047976,71.2303254032
"OMAN",34316.817791376,1278524.06927507,37.2564868062
"PAKISTAN",549038.451074441,130339364.343659,237.3956943973
"PANAMA",29377.106725496,1990338.79075408,67.7513551403
"PARAGUAY",54727.6525508338,3607667.99532456,65.9203862613
"PERU",260883.118283187,15162153.8814948,58.1185704206
"PHILIPPINES",227538.439186601,52150985.205189,229.1963739912
"POLAND",307466.761048112,37685955.8054023,122.5692028528
"PORTUGAL",60750.6559878677,6588587.74413591,108.4529481534
"QATAR",3101.8018816096,297993.888421141,96.07121918
"ROMANIA",228407.096279053,21567818.0284582,94.4270925896
"RUSSIA",1267044.34091343,113620451.717154,89.6736191847
"SAUDI ARABIA",233238.488343294,7863149.5998547,33.7129161474
"SENEGAL",81226.0944235602,6575469.92472469,80.9526787098
"SERBMONT",100626.435158782,10119364.7252005,100.5636809973
"SINGAPORE",394.9832511204,925933.832240955,2344.2356849676
"SLOVAKIA",48812.2562092954,5637435.34934295,115.4922100952
"SLOVENIA",20072.266890958,2744423.07657844,136.7271116654
"SOUTH AFRICA",375156.458277223,36254135.7561934,96.6373761035
"SPAIN",286245.022985736,29450013.3056196,102.8839313901
"SRI LANKA",57693.1893437135,14194377.0988228,246.0321098606
"SUDAN",358729.69189029,17217474.562529,47.995677391
"SWEDEN",102525.176601265,6221003.42860684,60.677812366
