#Urban population growth: annual %
"country",1960,"1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Abkhazia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghanistan",4.892477691,5.28059657737661,5.21182632442114,5.15221197501327,5.10175437058422,5.05858421483191,5.65006164292367,5.5412688473055,5.48469906601869,5.49213191577423,5.52533748709735,6.53638344489147,6.41840170496211,6.22105002901047,5.92592614216824,5.55038288278857,6.04604973208679,5.92455649216334,5.81109223989766,5.70492120839505,5.60533950840078,3.86348737908519,3.83915390871036,3.81555897620747,3.79267294217076,3.77046131002592,3.5165723556121,3.49570044975084,3.47540771305613,3.45569059280153,3.43651289143038,4.63072085553477,4.61414696629567,4.59799204413258,4.5822396429361,4.56687041685277,4.15153970640999,4.13545894278911,4.11977869285135,4.10448703933116,4.08956284042606,4.09073243765272,4.07519665313947,4.06004094233055,4.04524540122705,4.03080999352137,4.02461917768027,4.00961081266102,3.99496121910309,3.98066310504786,3.96669581696732,4.00145900037133
"Akrotiri and Dhekelia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albania",5.631799583,3.43437052427815,3.3878319673854,3.33196448324415,3.26998511605394,3.20345078354441,3.12361803217091,3.05127907130825,2.97919986455329,2.90879844452939,2.84093447262529,3.06438295800341,2.99842671642216,2.93812060281408,2.88438054224435,2.83664220496931,2.84199654414783,2.80311921035359,2.76577223335841,2.72921920097141,2.69556683615615,2.77087313772217,2.68399105495264,2.69617662079264,2.83497543127493,3.02624878332508,3.30129575546979,3.44516050864524,3.25117276384778,2.63819272643554,1.7686096468846,1.42125059891322,0.582369253250358,0.02185931291607,-0.118481193250672,0.071258176828023,0.53249690359186,0.756466244213421,0.986629043495029,1.1789463432012,1.33697322739783,2.57655397042026,2.74297355603383,2.83351309568969,2.81898981574539,2.72784506784813,2.80073188298562,2.69028752218715,2.59620346562141,2.53362180362351,2.49325970123297,2.37513376303424
"Algeria",4.933702419,6.46513320563512,6.19942190625515,6.05185286543667,6.04747415068667,6.13773131912424,3.52284757630412,3.7364783722367,3.88520979754009,3.94777381464815,3.95224178169632,3.42692862408048,3.44059848044572,3.46276991568246,3.50021373513455,3.54537619871365,4.74557168368873,4.73970700263274,4.74055987360363,4.75052322850524,4.75938830941331,5.31309521677923,5.27746742613565,5.20051833414621,5.07536269358293,4.91919037015227,4.62388170768149,4.46862809493325,4.33099744839924,4.21830584128488,4.11962178048603,3.95600251031903,3.85985067802704,3.72581493188718,3.5436641792732,3.33603549309464,3.43176011323061,3.23989332381844,3.10302639663526,3.03732351934362,3.022832723666,3.38106368812305,3.35960167556072,3.34082763866669,3.31918404345483,3.29436518959614,3.10664658042139,3.09198350818488,3.06457530030288,3.0203757736043,2.9638807444442,2.59408638368951
"American Samoa",,2.90370679598642,3.63367028695931,4.10176637418456,4.22869247879196,4.12512946682604,3.96095355736829,3.85197083275667,3.66068474024788,3.40431341479318,3.10773427908836,2.80127616412473,2.55246125705799,2.33791681184764,2.15766295109229,2.04226977002179,1.90017455666604,1.8237297625562,1.97171670375289,2.4066587627674,3.02027311218797,4.03978335252462,4.53940822694684,4.86369892114441,4.9622678102053,4.90747630629389,4.76480365220661,4.68123947204061,4.50770515084453,4.24839317704354,3.93581773716458,3.89340561107226,3.59511159131831,3.3382262711832,3.14304760753229,2.99441459196129,2.65287724051677,2.52378332104908,2.4488998629974,2.43523506332676,2.46498371965059,2.29962468829875,2.34398333489968,2.36396503789165,2.34502373716739,2.300977762996,2.07614380721314,2.04924678889834,2.0231522380658,2.00673770733647,1.99793394370431,1.87056741018207
"Andorra",,10.9530491477364,10.6092722514081,10.2593823261674,9.89101405822251,9.53336557386458,8.54256923789537,8.25120829262091,8.00868373199473,7.82426918586742,7.66322528265734,6.92240565327073,6.81987052826621,6.6106045821891,6.25441107150245,5.85807933441571,4.86466686459359,4.51782100370562,4.47940231839248,4.82680422530776,5.36181537159,5.62971580746498,6.03559888885493,5.94556515066581,5.28285848657277,4.33016345197194,2.48560061170254,1.63991965953378,1.37367347047569,1.88655120050064,2.85162344685712,3.90389328581152,4.69304493841944,4.6799920309661,3.72090037779531,2.26089153276367,0.542072111540617,-0.766320627786149,-1.29269601874144,-0.679997522436928,0.735524727430747,2.22497909700639,3.46061397735699,4.01541364635097,3.72730913250724,2.92573739853105,1.96747015595004,1.32677686786623,0.891372395887966,0.763676213376254,0.845813728982692,0.911469691330262
"Angola",4.89945784,5.69840995165426,5.57439104100882,5.43711915461675,5.27818688499927,5.11260204099431,5.54556853423975,5.37811693884734,5.26652641021303,5.22191511576257,5.22670591431256,7.45517516801183,7.30621357221088,7.17569947561986,7.05233654701942,6.93971073337885,7.81464679635165,7.62684429132587,7.51730886510414,7.49539045026283,7.51665006506556,8.26178983982836,8.21155362417153,8.01837521164716,7.65003180430364,7.1881568404752,7.18437492512304,6.74887040588038,6.48176619319905,6.4261349416288,6.5048119481775,6.65370629361652,6.71943096954575,6.67181715137107,6.4765748626014,6.19853658461182,5.07866824622233,4.88794811320749,4.8198147930093,4.90725887402865,5.08583032145602,5.26590572367452,5.3948737668119,5.42002784233336,5.31610865803848,5.13142017214328,4.74413609666433,4.58778001769845,4.46270417908165,4.38189192753751,4.33092855467652,4.07239026589306
"Anguilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",3.671971118,-0.183464060473582,0.134640538543208,0.352669620432471,0.410546589409376,0.359912163508527,0.429250644013432,0.377020744991904,0.285495858954211,0.151251610610931,-0.009251175940938,1.69870835070407,1.52586559885322,1.35936618408406,1.20550519150212,1.06028734623687,0.937481168637076,0.791297648729277,0.562487291710661,0.22113651955109,-0.190076339934131,-0.609677436017648,-0.975723997472322,-1.24883588513021,-1.39147985747383,-1.41267287743216,-1.42091682337519,-1.37674159287841,-1.10308641716989,-0.534620730888789,0.244985366665071,0.053001332886102,0.818750907779562,1.3812147201079,1.6564735128589,1.71898275657429,1.51392716643437,1.52465359564267,1.44005346033864,1.26815123660674,1.0400360205046,0.990135672746221,0.73776098217102,0.538362348576424,0.402346970805208,0.322248351147871,0.735482346661536,0.656525704311942,0.598410102807314,0.555607952097503,0.527449615136513,0.986894566399498
"Argentina",2.731216469,2.36032784752392,2.33277219089136,2.30003292655679,2.25937824020972,2.21669291486752,2.10423976388632,2.06858201776532,2.06724026212116,2.10933563823783,2.17815956931314,2.15260153406156,2.21717366336819,2.24325814961154,2.21802979917619,2.15879283544309,2.04761778349185,1.99300584299242,1.95831000442297,1.95223289854036,1.96537188653916,2.0364975864135,2.0420703198037,2.04164253171133,2.03224141788002,2.01580806346634,1.95013744155555,1.93270729467518,1.91074531467436,1.88374595958177,1.85297504440175,1.75583656395295,1.72179684675807,1.68958422565423,1.66048863394344,1.63277422673169,1.56296621429094,1.53530393344818,1.49744540124545,1.4464114755652,1.38774103837777,1.27922028629606,1.22556723815907,1.1861334340861,1.16574396676379,1.15938722283122,1.09341300871695,1.08916762900903,1.08615464140539,1.08295415613551,1.0792514302628,1.02545748312167
"Armenia",5.285572822,5.19825095948117,5.10530887881599,4.97897578248731,4.81842672762486,4.63896980965399,4.41175616894407,4.23573475312037,4.09299585909169,3.99340257395739,3.92158124940652,3.69495626496977,3.62421253594904,3.53662458120256,3.42564479953257,3.30081775428656,2.76736024536112,2.65992008734378,2.56602750495094,2.4899099349334,2.42622195744118,1.90322266125274,1.79614680370825,1.75322322343929,1.79388756642556,1.86663488824651,1.80195908576725,1.86533290347576,1.63086257801175,1.01370310965233,0.153969820768114,-1.33063474427009,-2.19142881641353,-2.74209895390082,-2.80760832019388,-2.48066695911928,-2.01660608980623,-1.60820598427363,-1.2499577930306,-1.02351331533525,-0.900398018030037,-0.484195142969234,-0.304233875215342,-0.166391648847915,-0.082635483115515,-0.04101747291582,0.090020840170807,0.104388254800611,0.122656895730358,0.154355904241517,0.192826386355434,0.339824579723152
"Aruba",2.130125145,2.20828570446056,1.38683778638316,0.804228993756148,0.555637490099063,0.548732571190718,0.581786750036587,0.553944456279188,0.547120102384047,0.545502359667132,0.548972443484769,0.599481589336044,0.657375871105562,0.6178180587154,0.443602947014802,0.18449457320427,-0.137297645461273,-0.398816588822317,-0.458401888556976,-0.243279194013151,0.168091740826088,0.750135229644099,1.24412898292862,1.36319860367954,0.969135846404329,0.282485116916071,-0.642859654705711,-1.33969398744495,-1.2686155951759,-0.100630554545669,1.79005164455039,3.31500629468337,4.85898412117406,5.45982967929218,4.9787073456035,3.89762585937295,2.5138581186757,1.63225197683601,1.07508513142269,0.973113056347778,1.16947578737148,2.24690259645589,2.34473491235493,2.33647237182093,2.17211338494016,1.90545610060482,1.75976754433266,1.53915965428762,1.31635610119889,1.09963499723314,0.894020636069892,0.807276996503346
